,comment,upper_count,lemmatized,polarity_score,label
1,l vs kira comment section,2,l v kira comment section,0.0,0
3,"someone asked question ""do trust government never make mistake?""",1,"someone ask question ""do trust government never make mistake?""",0.0,0
4,"""it virtually impossible execute innocent person"" word ""virtually"" lot leg work lmao",0,"""it virtually impossible execute innocent person"" word ""virtually"" lot leg work lmao",0.14444444444444446,1
5,"question be: ""do deserve die?"", be: ""should government humans subjective understanding justice able decide whether person deserves die?""",0,"question be: ""do deserve die?"", be: ""should government human subjective understanding justice able decide whether person deserves die?""",0.5,1
6,some crimes evil judgement earth. send next receive judgement greater us.,0,some crime evil judgement earth. send next receive judgement great us.,-0.16666666666666666,0
7,"thanks sharing mr. prager. do think murderers deserve alive? no. but give power state life, person neutralized incarcerated, no. people opposed penalty, like myself, fearful power state execute people. issue risk escape moot, statistically prison escapes (from max. security prisons) nearly unheard of, extraordinarily rare cases occur, initiate massive manhunts usually successful.",2,"thanks share mr. prager. do think murderer deserve alive? no. but give power state life, person neutralized incarcerated, no. people oppose penalty, like myself, fearful power state execute people. issue risk escape moot, statistically prison escape (from max. security prisons) nearly unheard of, extraordinarily rare case occur, initiate massive manhunt usually successful.",0.07857142857142858,1
8,"dennis prager claims ""it virtually impossible execute innocent person."" he seems hold assumption error bias extremely rare investigations trials. mr. prager must surely lot faith competence morality big government.",0,"dennis prager claim ""it virtually impossible execute innocent person."" he seem hold assumption error bias extremely rare investigation trials. mr. prager must surely lot faith competence morality big government.",0.12666666666666665,1
9,"""virtually impossible"" happened innocent put row.",0,"""virtually impossible"" happen innocent put row.",-0.08333333333333331,0
10,there thing make clear: dislike emotional manipulation. you scold to.,2,there thing make clear: dislike emotional manipulation. you scold to.,0.05000000000000001,1
11,relying imperfect justice system alot ultimate punishment basically insane.,0,rely imperfect justice system alot ultimate punishment basically insane.,-0.5,0
12,no. it’s policies emotions outweighs reason. there much human error deciding someone guilty innocent someone wrongly executed like george stinney jr. far,0,no. it’s policy emotion outweigh reason. there much human error decide someone guilty innocent someone wrongly execute like george stinney jr. far,-0.08,0
13,"""it virtually impossible execute innocent person"" big fat lie",0,"""it virtually impossible execute innocent person"" big fat lie",-0.055555555555555546,0
14,"wow. this manipulative videos argument could with. ""oh look poor people, remember gruesome murder, could anyone still opposed penalty?""",0,"wow. this manipulative video argument could with. ""oh look poor people, remember gruesome murder, could anyone still oppose penalty?""",-0.43333333333333335,0
15,yes spending rest solitary confinement slowly mind eroded away small punishment.,0,yes spend rest solitary confinement slowly mind erode away small punishment.,-0.275,0
16,"what good way show proper research arguments, ‘i understand opposing side’.",1,"what good way show proper research arguments, ‘i understand oppose side’.",0.35,1
17,"as child knew murder wrong. think us (and still do). reason knew simple. empathy. die, kill someone? at time penalties knew historical ones, assumed exist anymore. first learned modern 5th grade learned sentenced new hampshire killing cop (this longer case). my point here, making punishment murder less murder cheapen murder.",9,"a child know murder wrong. think u (and still do). reason know simple. empathy. die, kill someone? at time penalty know historical ones, assume exist anymore. first learn modern 5th grade learn sentenced new hampshire kill cop (this longer case). my point here, make punishment murder less murder cheapen murder.",-0.01147186147186147,0
18,"as much love prageru, point dennis didn’t use data, numbers, studies support points.",2,"a much love prageru, point dennis didn’t use data, numbers, study support points.",0.5,1
19,"""people made argument up."" is interesting complaint following ""it virtually impossible sentence innocent death."" hypocricy must naturally speaker, fluid example i've ever seen.",0,"""people make argument up."" be interesting complaint follow ""it virtually impossible sentence innocent death."" hypocricy must naturally speaker, fluid example i've ever seen.",0.019047619047619056,1
20,"“the whether deserve crimes commit. real question capital punishment country is, deserve kill?” -bryan stevenson",0,"“the whether deserve crime commit. real question capital punishment country is, deserve kill?” -bryan stevenson",0.2,1
21,that crime story beginning horrible. how anything gruesomely terrible happen? :'(,0,that crime story begin horrible. how anything gruesomely terrible happen? :'(,-1.0,0
22,"i've watched documentary brought unfortunately even though two defendants / criminals sentenced death, never actually received it. it abolished, huge waste time money. i'm penalty, think circumstances call sentence. always look sides, see situations make sense.",3,"i've watch documentary brought unfortunately even though two defendant / criminal sentence death, never actually receive it. it abolished, huge waste time money. i'm penalty, think circumstance call sentence. always look sides, see situation make sense.",-0.059999999999999984,0
23,"if intend continue advancing, cannot fall discourse revenge, even make justice, response bestiality respond savagery, nothing differentiate us who, reason, called monsters.",0,"if intend continue advancing, cannot fall discourse revenge, even make justice, response bestiality respond savagery, nothing differentiate u who, reason, call monsters.",0.0,0
24,"there’s two aspects whole debate, morally right wrong? and trust government power?",0,"there’s two aspect whole debate, morally right wrong? and trust government power?",-0.004761904761904763,0
25,well started watching prageru really liked it. whether disagree agree statements always reminder truth way complicated found exspecially liberal conservitive side.,2,well start watch prageru really like it. whether disagree agree statement always reminder truth way complicate find exspecially liberal conservitive side.,0.04999999999999999,1
26,often abused justice system perfect sometimes innocent found guilty,0,often abuse justice system perfect sometimes innocent find guilty,0.3333333333333333,1
27,"agree this, except claim ""it virtually impossible execute innocent person"". as much like videos, prageru, i'm afraid sometimes say anything win over. just like opposition",2,"agree this, except claim ""it virtually impossible execute innocent person"". a much like videos, prageru, i'm afraid sometimes say anything win over. just like opposition",0.046666666666666676,1
28,"it complex subject dennis prager oversimplified: (1) dennis prager chose heinous crime shock audience elicit strong emotional reaction cloud reason. (2) once applied, irreversible cannot modified. you must therefore know precisely crimes merit penalty, why. in practice, lawyers support argue endlessly, general population even so. where you draw line different scenarios different circumstances, you draw it?",2,"it complex subject dennis prager oversimplified: (1) dennis prager choose heinous crime shock audience elicit strong emotional reaction cloud reason. (2) once applied, irreversible cannot modified. you must therefore know precisely crime merit penalty, why. in practice, lawyer support argue endlessly, general population even so. where you draw line different scenario different circumstances, you draw it?",-0.03703703703703704,0
29,"well, i'am generally penalty, however cases think just. but think life-long hard labor better punishment execution. plus, always possibility re-trial, new evidence proving innocence discovered. so, conclusion, i'm opinion capital punishment abolished possible miscarriage justice, can abolished without abolition morally challenging.",3,"well, i'am generally penalty, however case think just. but think life-long hard labor well punishment execution. plus, always possibility re-trial, new evidence prove innocence discovered. so, conclusion, i'm opinion capital punishment abolish possible miscarriage justice, can abolish without abolition morally challenging.",0.14911616161616162,1
30,"however, purse justice by, first all, compensation and, afterwards, punishment. primary goal justice restore natural order, meaning, restoring victims aggression inflicted them, far possible. (and continuously stretching capability - i.e. improvements justice technology).",0,"however, purse justice by, first all, compensation and, afterwards, punishment. primary goal justice restore natural order, meaning, restore victim aggression inflict them, far possible. (and continuously stretch capability - i.e. improvement justice technology).",0.16999999999999998,1
31,"this probably “although, understand argument” topic ever",1,"this probably “although, understand argument” topic ever",0.0,0
32,"while agree argument convinced place, used cases used example video. murders singular murders place revenge wrong rape worthy penalty. also, small problem states slightly higher rate crime, may wrong though.",2,"while agree argument convince place, use case use example video. murder singular murder place revenge wrong rape worthy penalty. also, small problem state slightly high rate crime, may wrong though.",-0.13333333333333336,0
33,used cases iron clad incontrovertible evidence. otherwise sentence.,0,use case iron clad incontrovertible evidence. otherwise sentence.,0.0,0
34,recommend book “the sun does shine” anthony ray hinton. it’s biographical story innocent spent majority row.,1,recommend book “the sun do shine” anthony ray hinton. it’s biographical story innocent spent majority row.,0.2,1
35,"actually love discuss issue mr. prager depth. honestly know i'm penalty. unlike mr. prager, see sides.",3,"actually love discuss issue mr. prager depth. honestly know i'm penalty. unlike mr. prager, see sides.",0.55,1
36,this grade school level argument say pro penalty.,1,this grade school level argument say pro penalty.,0.0,0
37,"what find compelling argument make clear speaking commit murders, all. for sake simplicity, i'm counting situation person kills another person murder. there massive difference situation described, instance, someone caused someone's tragic car accident. too many nothing approach, way running away.",1,"what find compelling argument make clear speaking commit murders, all. for sake simplicity, i'm count situation person kill another person murder. there massive difference situation described, instance, someone cause someone's tragic car accident. too many nothing approach, way run away.",0.030000000000000006,1
38,when became conservative never wish someone yet however still demand justice. there lessons learned even criminal realise done believe fates worse,0,when become conservative never wish someone yet however still demand justice. there lesson learn even criminal realise do believe fate bad,-0.4,0
39,never act without thinking prepared consequences.,0,never act without think prepared consequences.,0.0,0
40,"question whether certain acts crimes justify penalty, without doubt, example murderers serious rape deserve killed. real question whether gouverment given much power deciding dead.",0,"question whether certain act crime justify penalty, without doubt, example murderer serious rape deserve killed. real question whether gouverment give much power decide dead.",-0.019841269841269837,0
41,"we similar case country - sweden, long ago. ofcourse made angry heared youngest daughter family burnt inside house father. but world problems, behaving like mavericks, still turn therapy - therapy life. death penalty doesn´t make anyones better easier planet. it casts cool dark shadow us try live dignity.",0,"we similar case country - sweden, long ago. ofcourse make angry heared young daughter family burn inside house father. but world problems, behave like mavericks, still turn therapy - therapy life. death penalty doesn´t make anyones well easy planet. it cast cool dark shadow u try live dignity.",0.040909090909090895,1
42,"thanks video, needed arguments school discussion.",1,"thanks video, need argument school discussion.",0.2,1
43,"there strange feature case, strange extremely rare occurrence. this brought scaffold company several others, sentence shooting passed upon political crime. twenty minutes later reprieved punishment substituted; interval two sentences, twenty minutes, least quarter hour, passed certainty within minutes must die. anxious hear speak impressions dreadful time, several times inquired thought felt. he remembered everything accurate extraordinary distinctness, declared never forget single iota experience. ‘about twenty paces scaffold, stood hear sentence, three posts, fixed ground, fasten criminals (of several). first three criminals taken posts, dressed long white tunics, white caps drawn faces, could see rifles pointed them. then group soldiers took stand opposite post. my friend eighth list, therefore among third lot go up. a priest went among cross: five minutes time left live. ‘he said five minutes seemed interminable period, enormous wealth time; seemed living, minutes, many lives need yet think last moment, made several arrangements, dividing time portions—one saying farewell companions, two minutes that; couple thinking career himself; another minute last look around. he remembered divided time like quite well. while saying good- bye friends recollected asking usual everyday question, much interested answer. then bade farewell, embarked upon two minutes allotted looking himself; knew beforehand going think about. he wished put quickly clearly possible, he, living, thinking man, three minutes nobody; somebody something, where? he thought decide question",3,"there strange feature case, strange extremely rare occurrence. this bring scaffold company several others, sentence shoot pass upon political crime. twenty minute later reprieve punishment substituted; interval two sentences, twenty minutes, least quarter hour, pass certainty within minute must die. anxious hear speak impression dreadful time, several time inquired think felt. he remember everything accurate extraordinary distinctness, declare never forget single iota experience. ‘about twenty pace scaffold, stand hear sentence, three posts, fix ground, fasten criminal (of several). first three criminal take posts, dress long white tunics, white cap draw faces, could see rifle point them. then group soldier take stand opposite post. my friend eighth list, therefore among third lot go up. a priest go among cross: five minute time leave live. ‘he say five minute seem interminable period, enormous wealth time; seem living, minutes, many life need yet think last moment, make several arrangements, divide time portions—one say farewell companions, two minute that; couple think career himself; another minute last look around. he remember divided time like quite well. while say good- bye friend recollect ask usual everyday question, much interested answer. then bid farewell, embark upon two minute allot look himself; know beforehand go think about. he wish put quickly clearly possible, he, living, think man, three minute nobody; somebody something, where? he think decide question",0.022007894066717593,1
44,"if dennis prager says imprisonment means ""being cared for,"" dennis prager could probably read prison system",0,"if dennis prager say imprisonment mean ""being care for,"" dennis prager could probably read prison system",0.0,0
45,"think see 'let rot jail' live misery, kill problems suffering over.",1,"think see 'let rot jail' live misery, kill problem suffer over.",0.018181818181818174,1
46,"think prevent capital punishment imposed first look reasons crime rates high certain country tackle make crime less likely. if get together make happen, need use even send prison all. think effective solution. tackling problem causes problem, route violence caused result.",2,"think prevent capital punishment impose first look reason crime rate high certain country tackle make crime less likely. if get together make happen, need use even send prison all. think effective solution. tackle problem cause problem, route violence cause result.",0.17626984126984127,1
47,agree almost everything...except say virtually impossible execute wrong person. that statement belittles life. there many wrongly executed.,2,agree almost everything...except say virtually impossible execute wrong person. that statement belittle life. there many wrongly executed.,-0.29166666666666663,0
48,"refuse play fire giving state power anybody's life. sure, slippery slope argument, principle ever cross line, especially inevitability error justice system.",2,"refuse play fire give state power anybody's life. sure, slippery slope argument, principle ever cross line, especially inevitability error justice system.",0.16666666666666666,1
49,"agree idea ""is virtually impossible"" apply innocent.",1,"agree idea ""is virtually impossible"" apply innocent.",-0.08333333333333331,0
50,"mean, i'm surprised prageru favour capital punishment given word capital",2,"mean, i'm surprise prageru favour capital punishment give word capital",-0.10625,0
51,"another argument killing murderers response initial murder innocent lives. kind like saying jail kidnapping community kidnapping prisoner. it punishment, similar initial crime.",0,"another argument kill murderer response initial murder innocent lives. kind like say jail kidnapping community kidnap prisoner. it punishment, similar initial crime.",0.16666666666666666,1
52,"to me, question absolutely sure guilt criminal. false accusation exist, although risk small wrongly execute someone, there. that main complain ""me too"" mouvement, innocent get ruined. and happened.",0,"to me, question absolutely sure guilt criminal. false accusation exist, although risk small wrongly execute someone, there. that main complain ""me too"" mouvement, innocent get ruined. and happened.",-0.054761904761904776,0
53,i've heard putin said russia need russian prisons worse death.,0,i've heard putin say russia need russian prison bad death.,-0.2,0
54,absolutely support penalty. no exception,1,absolutely support penalty. no exception,0.2,1
55,"used agree honest still agree mr prager said, love channel. but recently thinking ultimately power state gets decide whether somebody lives run courts police force. it’s unheard police investigation courtrooms jury’s corrupt, (just look tommy robinson dealt uk oj us).",6,"use agree honest still agree mr prager said, love channel. but recently think ultimately power state get decide whether somebody life run court police force. it’s unheard police investigation courtroom jury’s corrupt, (just look tommy robinson deal uk oj us).",0.12000000000000002,1
56,main reason oppose gives government way much power. but see victims families justice form executed defentitly deserved,2,main reason oppose give government way much power. but see victim family justice form execute defentitly deserve,0.18333333333333335,1
57,"you right live. but somebody else's good reason eyes, loose right.",1,"you right live. but somebody else's good reason eyes, loose right.",0.2661738261738262,1
