,comment,upper_count,lemmatized,polarity_score,label
7,cbs miami's carey codd reports on the latest court appearance by confessed marjory stoneman douglas high school shooter nikolas cruz.,1,cbs miami's carey codd report on the late court appearance by confessed marjory stoneman douglas high school shooter nikolas cruz.,0.33,1
8,love how school's don't take real solid action against bullying but everyone freaks out when this happens,0,love how school's don't take real solid action against bully but everyone freak out when this happen,0.19999999999999998,1
9,damn he really is the quiet kid.,0,damn he really be the quiet kid.,0.1,1
10,"i feel for his family. imagine waking up to your brother or your son or your father turning out to be a mass shooter. that will haunt you for the rest of your life, people wouldn't let you live it down. not sure if you can even put that much blame on family either, even if they knew of the tenancies. mental really.",2,"i feel for his family. imagine wake up to your brother or your son or your father turn out to be a mass shooter. that will haunt you for the rest of your life, people wouldn't let you live it down. not sure if you can even put that much blame on family either, even if they know of the tenancies. mental really.",0.005134680134680135,1
11,why is nobody talking about the guy who saved innocent lives from being shot. he is amazing!,0,why be nobody talk about the guy who save innocent life from be shot. he be amazing!,0.625,1
12,this is heart breaking i can’t imagine waking up and saying goodbye to someone thinking i’ll see them again not knowing that i won’t. it feels wrong that they have to live without their loved ones.,2,this be heart break i can’t imagine wake up and say goodbye to someone think i’ll see them again not know that i won’t. it feel wrong that they have to live without their love ones.,0.11212121212121211,1
13,this is why the school's need to learn to take care of bullying,4,this be why the school's need to learn to take care of bully,0.0,0
14,bully: *beats up kid* teacher:,0,bully: *beats up kid* teacher:,0.0,0
15,"bullying will never stop. i hear lots of talk about this but no real action. i was bullied in school. it hurts. it hurts. physically and mentally. i can't begin to tell you how many times i thought about revenge one day. now you have kids going home, getting a gun, and returning to school and ""settling the score"" . i thought about many times then. that was back in the 60's. i am 73 now, and i can remember it like it was yesterday. i could have been cruz. deal with this now or you will have many more cruz's in the future. columbine school shooting (harris and klebold) deal with this. deal with this !!",22,"bullying will never stop. i hear lot of talk about this but no real action. i be bully in school. it hurts. it hurts. physically and mentally. i can't begin to tell you how many time i think about revenge one day. now you have kid go home, get a gun, and return to school and ""settling the score"" . i think about many time then. that be back in the 60's. i be 73 now, and i can remember it like it be yesterday. i could have be cruz. deal with this now or you will have many more cruz's in the future. columbine school shoot (harris and klebold) deal with this. deal with this !!",0.2074074074074074,1
16,"i'm not against the death penalty per se, but i always felt it was an easy way out for criminals. life long in solitary confinement, now there is a sentence.",2,"i'm not against the death penalty per se, but i always felt it be an easy way out for criminals. life long in solitary confinement, now there be a sentence.",0.19166666666666668,1
17,"i get he got bullied and pushed to his limit, but that doesn’t excuse he killed 17 people. idgaf, i was bullied too and yet at no point did i go and kill people",3,"i get he get bullied and push to his limit, but that doesn’t excuse he kill 17 people. idgaf, i be bully too and yet at no point do i go and kill people",-0.125,0
18,i genuinely feel bad for the families here. i can't even imagine the pain they've to deal with for the rest of their lives. no parent should have to watch their children die.,2,i genuinely feel bad for the family here. i can't even imagine the pain they've to deal with for the rest of their lives. no parent should have to watch their child die.,-0.1499999999999999,0
19,i was bullied in grade school. one time i challenged him for a fistfight. i lost. but he never bullied me again.,3,i be bully in grade school. one time i challenge him for a fistfight. i lost. but he never bully me again.,0.0,0
20,death penalty is the easy way out. let em rot in prison.,0,death penalty be the easy way out. let em rot in prison.,0.43333333333333335,1
21,rip to everyone who died in the shooting ️,0,rip to everyone who die in the shooting ️,0.0,0
22,my prayers and thoughts are with all the families and filed up the shootings and that young man with the shot five times my prayers are with your speedy recovery,0,my prayer and thought be with all the family and file up the shooting and that young man with the shot five time my prayer be with your speedy recovery,0.1,1
